date,stock1,stock2,stock3,stock4,lot1,lot2,lot3,lot4,value1,value2,value3,value4,stock_value_total,cash,accrued_fee,nav,is_rebalance,is_payfee
2018-12-31,2573042,2572286,1232815,2572066,15,6,2,8,24666.585,23506.432200000003,16987.884,23886.1096,89047.0108,10952.852213698638,0.0,99999.86301369865,True,True
2019-01-01,2573042,2572286,1232815,2572066,15,6,2,8,24666.585,23506.432200000003,16987.884,23886.1096,89047.0108,10952.852213698638,0.1369861137173954,99999.72602758493,False,False
2019-01-02,2573042,2572286,1232815,2572066,15,6,2,8,24502.71,23524.344,17112.4516,24138.788800000002,89278.29440000001,10952.852213698638,0.27428886663189533,100230.87232483203,False,False
2019-01-03,2573042,2572286,1232815,2572066,15,6,2,8,23891.271,22640.6886,16084.770199999999,23592.685599999997,86209.4154,10952.852213698638,0.4073874876248159,97161.86022621102,False,False
2019-01-04,2573042,2572286,1232815,2572066,15,6,2,8,24877.061999999998,23769.1404,16834.1212,24849.4504,90329.774,10952.852213698638,0.5461302531401735,101282.08008344551,False,False
2019-01-05,2573042,2572286,1232815,2572066,15,6,2,8,24877.061999999998,23769.1404,16834.1212,24849.4504,90329.774,10952.852213698638,0.6848728285969482,101281.94134087005,False,False
2019-01-06,2573042,2572286,1232815,2572066,15,6,2,8,24877.061999999998,23769.1404,16834.1212,24849.4504,90329.774,10952.852213698638,0.8236152139954003,101281.80259848465,False,False
2019-01-07,2573042,2572286,1232815,2572066,15,6,2,8,24877.061999999998,24228.8802,17159.1644,25662.762400000003,91927.869,10952.852213698638,0.9645465805686669,102879.75666711808,False,False
2019-01-08,2573042,2572286,1232815,2572066,15,6,2,8,24877.061999999998,24360.2346,17059.8996,26128.640000000003,92425.8362,10952.852213698638,1.1061599009345822,103377.58225379771,False,False
2019-01-09,2573042,2572286,1232815,2572066,15,6,2,8,24877.061999999998,25130.447999999997,17495.8856,26476.074399999998,93979.46999999999,10952.852213698638,1.2499012927890996,104931.07231240584,False,False
2019-01-10,2573042,2572286,1232815,2572066,15,6,2,8,25690.8105,25237.9194,17676.8978,26333.9424,94939.5701,10952.852213698638,1.394957693354039,105891.02735600529,False,False
2019-01-11,2573042,2572286,1232815,2572066,15,6,2,8,25690.8105,24957.2988,17822.8752,26291.6184,94762.6029,10952.852213698638,1.5397714743896627,105713.91534222425,False,False
2019-01-12,2573042,2572286,1232815,2572066,15,6,2,8,25690.8105,24957.2988,17822.8752,26291.6184,94762.6029,10952.852213698638,1.6845850570502439,105713.77052864159,False,False
2019-01-13,2573042,2572286,1232815,2572066,15,6,2,8,25690.8105,24957.2988,17822.8752,26291.6184,94762.6029,10952.852213698638,1.8293984413360542,105713.62571525731,False,False
2019-01-14,2573042,2572286,1232815,2572066,15,6,2,8,25690.8105,24479.6472,17517.2956,26018.0928,93705.8461,10952.852213698638,1.9727640151925712,104656.72554968344,False,False
2019-01-15,2573042,2572286,1232815,2572066,15,6,2,8,25690.8105,24819.9744,17564.0084,26523.451999999997,94598.24529999998,10952.852213698638,2.117351857315425,105548.9801618413,False,False
2019-01-16,2573042,2572286,1232815,2572066,15,6,2,8,25766.2725,25225.9782,17425.8164,26768.2352,95186.3023,10952.852213698638,2.2627450589069884,106136.89176863973,False,False
2019-01-17,2573042,2572286,1232815,2572066,15,6,2,8,25766.2725,25423.0092,17641.8632,26918.2632,95749.4081,10952.852213698638,2.408909439138002,106699.8514042595,False,False
2019-01-18,2573042,2572286,1232815,2572066,15,6,2,8,25975.201500000003,26055.8976,18077.8492,27199.2904,97308.2387,10952.852213698638,2.5572090035273987,108258.53370469512,False,False
2019-01-19,2573042,2572286,1232815,2572066,15,6,2,8,25975.201500000003,26055.8976,18077.8492,27199.2904,97308.2387,10952.852213698638,2.705508364766707,108258.38540533387,False,False
2019-01-20,2573042,2572286,1232815,2572066,15,6,2,8,25975.201500000003,26055.8976,18077.8492,27199.2904,97308.2387,10952.852213698638,2.8538075228562056,108258.23710617579,False,False
2019-01-21,2573042,2572286,1232815,2572066,15,6,2,8,25975.201500000003,26055.8976,18077.8492,27199.2904,97308.2387,10952.852213698638,3.0021064777961723,108258.08880722085,False,False
2019-01-22,2573042,2572286,1232815,2572066,15,6,2,8,25918.605,25017.0054,17554.2766,26302.3576,94792.2446,10952.852213698638,3.146958662326612,105741.94985503632,False,False
2019-01-23,2573042,2572286,1232815,2572066,15,6,2,8,25918.605,25142.389199999998,17484.2074,26428.6968,94973.8984,10952.852213698638,3.292059489251319,105923.4585542094,False,False
2019-01-24,2573042,2572286,1232815,2572066,15,6,2,8,26590.158,25578.246,18513.8352,26859.3576,97541.5968,10952.852213698638,3.4406775124762636,108491.00833618616,False,False
2019-01-25,2573042,2572286,1232815,2572066,15,6,2,8,26590.158,26342.4888,18858.342,27534.1696,99325.15840000001,10952.852213698638,3.591738567183368,110274.41887513148,False,False
2019-01-26,2573042,2572286,1232815,2572066,15,6,2,8,26590.158,26342.4888,18858.342,27534.1696,99325.15840000001,10952.852213698638,3.742799414957521,110274.2678142837,False,False
2019-01-27,2573042,2572286,1232815,2572066,15,6,2,8,26590.158,26342.4888,18858.342,27534.1696,99325.15840000001,10952.852213698638,3.8938600557990055,110274.11675364285,False,False
2019-01-28,2573042,2572286,1232815,2572066,15,6,2,8,26733.339,26049.927,18506.0498,27478.895999999997,98768.2118,10952.852213698638,4.04415754916016,109717.01985614949,False,False
2019-01-29,2573042,2572286,1232815,2572066,15,6,2,8,26733.339,25846.9254,18260.8076,27060.7904,97901.8624,10952.852213698638,4.193268056634338,108850.521345642,False,False
2019-01-30,2573042,2572286,1232815,2572066,15,6,2,8,26733.339,26288.752800000002,18813.5756,27873.6288,99709.29620000001,10952.852213698638,4.344854296559875,110657.80355940209,False,False
2019-01-31,2573042,2572286,1232815,2572066,15,6,2,8,27640.0065,26808.1992,18799.950999999997,28284.311999999998,101532.4687,10952.852213698638,4.498937825408371,112480.82197587323,False,False
2019-02-01,2573042,2572286,1232815,2572066,15,6,2,8,27640.0065,26646.9918,19039.354,27786.849599999998,101113.2019,10952.852213698638,4.652446805101348,112061.40166689354,False,False
2019-02-02,2573042,2572286,1232815,2572066,15,6,2,8,27640.0065,26646.9918,19039.354,27786.849599999998,101113.2019,10952.852213698638,4.805955574508051,112061.24815812413,False,False
2019-02-03,2573042,2572286,1232815,2572066,15,6,2,8,27640.0065,26646.9918,19039.354,27786.849599999998,101113.2019,10952.852213698638,4.959464133628769,112061.09464956501,False,False
2019-02-04,2573042,2572286,1232815,2572066,15,6,2,8,27886.5255,26772.3756,19132.7796,27968.462399999997,101760.14309999999,10952.852213698638,5.1138587032857075,112707.88145499534,False,False
2019-02-05,2573042,2572286,1232815,2572066,15,6,2,8,28270.029,27351.528000000002,19239.8298,28458.029599999998,103319.4164,10952.852213698638,5.270389052265153,114266.99822464638,False,False
2019-02-06,2573042,2572286,1232815,2572066,15,6,2,8,28270.029,27005.2308,19716.689400000003,28236.934400000002,103228.8836,10952.852213698638,5.426795169285216,114176.30901852935,False,False
