,date,action,stock_id,shares,price,amount,cash_after,note
0,2018-12-31,BUY,2573042.0,1500.0,16.44439,-24666.585,75333.41500000001,rebalance
1,2018-12-31,BUY,2572286.0,600.0,39.177387,-23506.432200000003,51826.982800000005,rebalance
2,2018-12-31,BUY,1232815.0,200.0,84.93942,-16987.884,34839.09880000001,rebalance
3,2018-12-31,BUY,2572066.0,800.0,29.857637,-23886.1096,10952.989200000007,rebalance
4,2018-12-31,FEE_PAYMENT,,,,-0.13698630136986303,10952.852213698638,year-end
5,2019-04-01,BUY,2572067.0,1200.0,24.117631,-28941.157199999998,6944.549813698661,rebalance
6,2019-04-01,BUY,3695.0,1100.0,26.643289,-29307.617899999997,35885.70701369866,rebalance
7,2019-04-01,BUY,2573125.0,900.0,32.983709,-29685.338099999997,65193.324913698656,rebalance
8,2019-04-01,SELL,2573042.0,1500.0,19.245301,28867.951500000003,94878.66301369865,rebalance
9,2019-04-01,SELL,2572286.0,600.0,50.063864,30038.3184,66010.71151369864,rebalance
10,2019-04-01,SELL,2572066.0,100.0,38.138813,3813.8813,35972.39311369864,rebalance
11,2019-04-01,SELL,1232815.0,200.0,106.028298,21205.659600000003,32158.511813698642,rebalance
12,2019-07-01,SELL,3695.0,100.0,28.11346,2811.346,9755.89581369866,rebalance
13,2019-07-01,SELL,2572066.0,700.0,37.7745,26442.15,36198.04581369866,rebalance
14,2019-07-01,SELL,2573125.0,900.0,29.069708,26162.7372,62360.78301369866,rebalance
15,2019-07-01,BUY,8893.0,700.0,38.07405,-26651.835,35708.94801369866,rebalance
16,2019-07-01,BUY,2572065.0,400.0,59.962536,-23985.0144,11723.93361369866,rebalance
17,2019-09-30,BUY,2572286.0,600.0,45.536125,-27321.675,6879.967513698659,rebalance
18,2019-09-30,BUY,2573062.0,1500.0,18.37275,-27559.125,34201.64251369866,rebalance
19,2019-09-30,SELL,8893.0,700.0,37.703453,26392.417100000002,38116.35071369866,rebalance
20,2019-09-30,SELL,2572065.0,400.0,59.111042,23644.4168,61760.76751369866,rebalance
21,2019-12-31,BUY,2572765.0,700.0,40.572987,-28401.0909,13384.235313698668,rebalance
22,2019-12-31,FEE_PAYMENT,,,,-59.19451554950644,13325.04079814916,year-end
23,2019-12-31,BUY,2572065.0,400.0,66.995671,-26798.2684,72427.88021369866,rebalance
24,2019-12-31,BUY,2572856.0,1000.0,29.569991,-29569.991,99226.14861369866,rebalance
25,2019-12-31,BUY,851607.0,1900.0,16.12766,-30642.553999999996,41785.32621369867,rebalance
26,2019-12-31,SELL,2572286.0,600.0,52.327956,31396.7736,98464.12511369865,rebalance
27,2019-12-31,SELL,2572067.0,1200.0,26.14526,31374.312,67067.35151369865,rebalance
28,2019-12-31,SELL,3695.0,1000.0,28.813072,28813.071999999996,35693.039513698655,rebalance
29,2019-12-31,SELL,2573062.0,1500.0,20.221343,30332.0145,128796.13961369866,rebalance
30,2020-03-31,BUY,497280.0,1200.0,23.99,-28787.999999999996,32251.862798149177,rebalance
31,2020-03-31,SELL,851607.0,100.0,16.125,1612.5,14937.54079814916,rebalance
32,2020-03-31,SELL,2572065.0,400.0,59.384963,23753.9852,38691.52599814916,rebalance
33,2020-03-31,SELL,2572765.0,700.0,35.536886,24875.820200000002,63567.346198149164,rebalance
34,2020-03-31,SELL,2572856.0,1000.0,26.603151,26603.151,90170.49719814917,rebalance
35,2020-03-31,BUY,2573062.0,1400.0,20.807596,-29130.6344,61039.86279814917,rebalance
36,2020-03-31,BUY,2572066.0,900.0,32.818725,-29536.8525,2715.0102981491764,rebalance
37,2020-06-30,BUY,2572067.0,1500.0,28.757176,-43135.764,5321.345398149177,rebalance
38,2020-06-30,BUY,851607.0,100.0,22.746643,-2274.6643,48457.10939814918,rebalance
39,2020-06-30,SELL,497280.0,100.0,38.96,3896.0,6611.010298149176,rebalance
40,2020-06-30,SELL,2572066.0,100.0,50.920842,5092.0842,11703.094498149178,rebalance
41,2020-06-30,SELL,2573062.0,1400.0,27.877628,39028.6792,50731.773698149176,rebalance
42,2020-09-30,SELL,497280.0,1100.0,42.73,47003.0,52324.34539814918,rebalance
43,2020-09-30,SELL,851607.0,100.0,26.767713,2676.7713,55001.11669814918,rebalance
44,2020-09-30,SELL,2572067.0,1500.0,31.840039,47760.0585,102761.17519814917,rebalance
45,2020-09-30,BUY,4572.0,2700.0,18.249382,-49273.3314,53487.843798149166,rebalance
46,2020-09-30,BUY,1232815.0,200.0,172.073261,-34414.6522,19073.19159814917,rebalance
47,2020-12-31,SELL,4572.0,500.0,27.922101,13961.050500000001,33034.242098149174,rebalance
48,2020-12-31,SELL,1232815.0,200.0,217.256262,43451.2524,131940.47229814916,rebalance
49,2020-12-31,SELL,2572066.0,800.0,75.85,60679.99999999999,192620.47229814916,rebalance
50,2020-12-31,BUY,2572067.0,1600.0,38.918492,-62269.5872,130350.88509814916,rebalance
51,2020-12-31,BUY,2572765.0,1100.0,57.415059,-63156.5649,67194.32019814916,rebalance
52,2020-12-31,BUY,3695.0,1400.0,44.304309,-62026.032600000006,5168.2875981491525,rebalance
53,2020-12-31,FEE_PAYMENT,,,,-86.91447656972142,5081.373121579431,year-end
54,2020-12-31,SELL,851607.0,1800.0,30.808321,55454.9778,88489.21989814917,rebalance
55,2021-03-31,BUY,1232815.0,200.0,242.25237,-48450.474,136755.52342157945,rebalance
56,2021-03-31,BUY,2572065.0,800.0,76.136935,-60909.547999999995,75845.97542157945,rebalance
57,2021-03-31,BUY,7634.0,1800.0,33.183474,-59730.25319999999,16115.72222157946,rebalance
58,2021-03-31,SELL,2572067.0,200.0,42.142162,8428.4324,124968.06472157945,rebalance
59,2021-03-31,SELL,4572.0,2200.0,24.026454,52858.198800000006,116539.63232157944,rebalance
60,2021-03-31,SELL,3695.0,1400.0,41.857186,58600.060399999995,63681.43352157943,rebalance
61,2021-03-31,SELL,2572765.0,1100.0,54.761757,60237.932700000005,185205.99742157944,rebalance
62,2021-06-30,BUY,497280.0,1100.0,55.89,-61479.0,19024.26182157948,rebalance
63,2021-06-30,BUY,2573085.0,800.0,72.333371,-57866.6968,144287.74022157947,rebalance
64,2021-06-30,SELL,2572067.0,1400.0,43.940173,61516.2422,202154.43702157948,rebalance
65,2021-06-30,BUY,2573062.0,1600.0,39.865299,-63784.4784,80503.26182157948,rebalance
66,2021-06-30,SELL,1232815.0,200.0,260.84279,52168.558,132372.25422157947,rebalance
67,2021-06-30,SELL,7634.0,1800.0,35.60443,64087.974,80203.69622157946,rebalance
68,2021-06-30,SELL,2572065.0,100.0,82.659406,8265.9406,140638.19482157947,rebalance
69,2021-09-30,BUY,1232815.0,200.0,254.904598,-50980.9196,18836.224921579465,rebalance
70,2021-09-30,SELL,2572065.0,700.0,83.266025,58286.2175,77310.47932157948,rebalance
71,2021-09-30,SELL,2573062.0,1600.0,32.716496,52346.393599999996,129656.87292157947,rebalance
72,2021-09-30,SELL,2573085.0,800.0,81.816769,65453.415199999996,195110.28812157948,rebalance
73,2021-09-30,BUY,7634.0,1700.0,36.192686,-61527.5662,133582.72192157948,rebalance
74,2021-09-30,BUY,3695.0,1400.0,45.546841,-63765.5774,69817.14452157947,rebalance
75,2021-12-31,FEE_PAYMENT,,,,-130.6262405779722,18705.598681001495,year-end
